Wall time,Step,Value
1648749381.8559773,7,1.0238458116873517e-06
1648749381.8730748,8,1.0268662435919396e-06
1648749381.9879792,15,1.0482601737749064e-06
1648749382.0047874,16,1.0513525694477721e-06
1648749382.1971643,27,1.0859777148652938e-06
1648749382.2751293,32,1.102091118809767e-06
1648749382.2903142,33,1.1053423349949298e-06
1648749382.467669,43,1.1383871196812834e-06
1648749382.567832,49,1.1586863593038288e-06
1648749382.599453,51,1.1655328080451e-06
1648749382.61607,52,1.1689712664519902e-06
1648749382.6484747,54,1.1758785376514425e-06
1648749382.7091665,58,1.1898158618350863e-06
1648749382.8489823,67,1.221781644744624e-06
1648749382.9957511,76,1.2546063317131484e-06
1648749383.1678448,87,1.2959252444488811e-06
1648749383.2509482,92,1.3151537814337644e-06
1648749383.2667692,93,1.31903357214469e-06
1648749383.3000882,95,1.3268276006783708e-06
1648749383.3167636,96,1.330741838501126e-06
1648749383.4143007,102,1.3544710100177326e-06
1648749383.4611745,105,1.3664938478541444e-06
1648749383.629584,115,1.4073458487473545e-06
1648749383.6461952,116,1.4114976920609479e-06
1648749383.8075914,126,1.4536951766785933e-06
1648749383.9076679,132,1.4796167988606612e-06
1648749384.0227966,139,1.5104434396562283e-06
1648749384.0714984,142,1.523850755802414e-06
1648749384.1355207,146,1.5419124110849225e-06
1648749384.2050264,150,1.5601881386828609e-06
1648749384.2388105,152,1.5694071180405444e-06
1648749384.520963,169,1.6500002857355867e-06
1648749384.5383825,170,1.6548679013794754e-06
1648749384.5550935,171,1.659749841564917e-06
1648749384.605622,174,1.6744824051784235e-06
1648749384.6672947,178,1.69432951224735e-06
1648749384.6827295,179,1.6993278677546186e-06
1648749384.7511756,183,1.7194694237332442e-06
1648749384.766318,184,1.724542016745545e-06
1648749384.7992961,186,1.7347321090710466e-06
1648749384.9505877,195,1.78133768713451e-06
1648749385.0290127,200,1.8077686263495707e-06
1648749385.25054,214,1.8838802589016268e-06
1648749385.3617034,221,1.9231295027566375e-06
1648749385.3797174,222,1.928802930706297e-06
1648749385.48929,229,1.968988044609432e-06
1648749385.5203125,231,1.980622528208187e-06
1648749385.5356774,232,1.986465576919727e-06
1648749385.581321,235,2.0040981780766742e-06
1648749385.8006794,249,2.088475639538956e-06
1648749385.8172295,250,2.094636784022441e-06
1648749385.8491552,252,2.1070138700451935e-06
1648749385.8808618,254,2.119463943017763e-06
1648749386.0814803,267,2.202202040280099e-06
1648749386.1252599,270,2.221749582531629e-06
1648749386.1862853,274,2.2480830921267625e-06
1648749386.2774906,280,2.288169980602106e-06
1648749386.3075736,282,2.301690301464987e-06
1648749386.42913,290,2.3565760329802288e-06
1648749386.4615893,292,2.3705006242380477e-06
1648749386.6594403,305,2.463038526911987e-06
1648749386.736668,310,2.4995842977659777e-06
1648749386.8446195,317,2.5516612822684692e-06
1648749386.9390676,323,2.59716125583509e-06
1648749387.110213,334,2.682695821931702e-06
1648749387.1711478,338,2.714492893574061e-06
1648749387.3281167,348,2.7956441499554785e-06
1648749387.3576684,350,2.8121630748501047e-06
1648749387.4028172,353,2.8371250664349645e-06
1648749387.418232,354,2.84549469142803e-06
1648749387.4503396,356,2.8623082926060306e-06
1648749387.4804125,358,2.8792212560802e-06
1648749387.510839,360,2.8962342639715644e-06
1648749387.6956794,372,3.000443939527031e-06
1648749387.7887442,378,3.053946329600876e-06
1648749387.8193345,380,3.0719918413524283e-06
1648749387.9441943,388,3.145245727864676e-06
1648749387.9924822,391,3.173164031977649e-06
1648749388.0223145,393,3.191913947375724e-06
1648749388.0369666,394,3.20133040077053e-06
1648749388.0525708,395,3.21077459375374e-06
1648749388.1004925,398,3.2392745197284967e-06
1648749388.1461072,401,3.2680275126040215e-06
1648749388.3930767,417,3.4257432162121404e-06
1648749388.4110343,418,3.4358492939645657e-06
1648749388.4847589,423,3.486829427856719e-06
1648749388.517098,425,3.507432666083332e-06
1648749388.5933254,430,3.559474862413481e-06
1648749388.6407664,433,3.591070026232046e-06
1648749388.856669,447,3.7422632885864004e-06
1648749388.9498107,453,3.8089935969765065e-06
1648749389.0255315,458,3.865510279865703e-06
1648749389.057868,460,3.888350875058677e-06
1648749389.072276,461,3.899821876984788e-06
1648749389.1030402,463,3.922865289496258e-06
1648749389.1522095,466,3.957686203648336e-06
1648749390.7998188,470,4.0045952118816786e-06
1648749390.906949,477,4.088028163096169e-06
1648749391.0465806,486,4.197857833787566e-06
1648749391.077161,488,4.222662482789019e-06
1648749391.0947313,489,4.235119376971852e-06
1648749391.2191854,497,4.336109213909367e-06
1648749391.2788272,501,4.387503395264503e-06
1648749391.5565715,519,4.626421741704689e-06
1648749391.634449,524,4.695066763815703e-06
1648749391.6949937,528,4.750716016133083e-06
1648749391.7880273,534,4.835428626392968e-06
1648749391.8332267,537,4.878349500359036e-06
1648749391.8809543,540,4.921651907352498e-06
1648749391.9263144,543,4.965338121110108e-06
1648749391.9587717,545,4.994677510694601e-06
1648749391.9737887,546,5.009412234358024e-06
1648749392.004051,548,5.039012194174575e-06
1648749392.0194795,549,5.053877885075053e-06
1648749392.0671566,552,5.098737801745301e-06
1648749392.0825326,553,5.113779479870573e-06
1648749392.1905499,560,5.220321327215061e-06
1648749392.2082326,561,5.235721801000182e-06
1648749392.285258,566,5.313407655194169e-06
1648749392.4383008,576,5.472254997584969e-06
1648749392.4838626,579,5.520828381122556e-06
1648749392.5454092,583,5.586265160673065e-06
1648749392.6242254,588,5.669152415066492e-06
1648749392.653281,590,5.702650469174841e-06
1648749392.790334,599,5.855858944414649e-06
1648749392.8228202,601,5.8904606703436e-06
1648749392.8677473,604,5.942746611253824e-06
1648749392.9915586,612,6.084455890231766e-06
1648749393.211566,626,6.340626896417234e-06
1648749393.2268093,627,6.359332019201247e-06
1648749393.2736113,630,6.415780262614135e-06
1648749393.2888107,631,6.43470730210538e-06
1648749393.3680484,636,6.530183327413397e-06
1648749393.4143054,639,6.58814769849414e-06
1648749393.5074039,645,6.705624400638044e-06
1648749393.5232275,646,6.725406819896307e-06
1648749393.6005275,651,6.825196123827482e-06
1648749393.67749,656,6.926466539880494e-06
1648749393.6938617,657,6.946900157345226e-06
1648749393.771061,662,7.049975920381257e-06
1648749393.8027515,664,7.091633051459212e-06
1648749393.8182473,665,7.1125541580840945e-06
1648749393.8796375,669,7.19685658623348e-06
1648749393.9272044,672,7.260738584591309e-06
1648749393.988245,676,7.346797701757168e-06
1648749394.0208945,678,7.390208793367492e-06
1648749394.0365424,679,7.412010745611042e-06
1648749394.08319,682,7.477802228095243e-06
1648749394.1297975,685,7.544178060925333e-06
1648749394.1752968,688,7.611143246322172e-06
1648749394.2991564,696,7.792637006787118e-06
1648749394.329221,698,7.838681995053776e-06
1648749394.4859722,708,8.073024218901992e-06
1648749394.6265457,717,8.289915967907291e-06
1648749394.6573663,719,8.338899533555377e-06
1648749394.6893575,721,8.38817322801333e-06
1648749394.7206116,723,8.437737960775848e-06
1648749394.7511055,725,8.487594641337637e-06
1648749394.784198,727,8.537746907677501e-06
1648749394.92358,736,8.76712419994874e-06
1648749395.2035482,754,9.244530701835174e-06
1648749395.2200286,755,9.271802809962537e-06
1648749395.2355413,756,9.299154953623656e-06
1648749395.2958155,760,9.409374797542114e-06
1648749395.3278863,762,9.464973118156195e-06
1648749395.357816,764,9.520900675852317e-06
1648749395.4189534,768,9.633748959458899e-06
1648749395.4831853,772,9.747934200277086e-06
1648749395.5138829,774,9.805533409235068e-06
1648749395.63874,782,1.0039353583124466e-05
1648749395.6865177,785,1.012846678349888e-05
1648749395.8404255,795,1.0431263035570737e-05
1648749395.8731446,797,1.0492899491509888e-05
1648749395.918187,800,1.058603902492905e-05
1648749395.9333453,801,1.0617268344503827e-05
1648749396.0279384,807,1.0806590580614284e-05
1648749396.0743244,810,1.0902514077315573e-05
1648749396.0916855,811,1.093467744794907e-05
1648749396.121386,813,1.0999288861057721e-05
1648749396.6333208,846,1.212221832247451e-05
1648749396.6936874,850,1.2265898476471193e-05
1648749396.8152351,858,1.255838833458256e-05
1648749396.9074225,864,1.2782323210558388e-05
1648749396.9224882,865,1.2820032679883298e-05
1648749396.9536834,867,1.2895784493593965e-05
1648749396.9691327,868,1.2933827747474425e-05
1648749397.1205852,878,1.3320491234480869e-05
1648749397.1834617,882,1.347837496723514e-05
1648749397.1985958,883,1.3518137166101951e-05
1648749397.4289343,898,1.4128843758953735e-05
1648749397.646424,912,1.4723703316121828e-05
1648749397.7244108,917,1.4942169400455896e-05
1648749397.7553725,919,1.5030460417619906e-05
1648749397.8326623,924,1.5253477613441646e-05
1648749397.9710386,933,1.56632813741453e-05
1648749397.9858663,934,1.5709489161963575e-05
1648749398.0068402,935,1.5755833373987116e-05
1648749399.4760094,939,1.5942581740091555e-05
1648749399.5671947,945,1.622686249902472e-05
1648749399.6120365,948,1.6370897355955094e-05
1648749399.6594362,951,1.6516212781425565e-05
1648749399.7197456,955,1.671197242103517e-05
1648749399.7352662,956,1.6761274309828877e-05
1648749399.814004,961,1.700997381703928e-05
1648749399.9226704,968,1.736436206556391e-05
1648749399.9374564,969,1.7415588445146568e-05
1648749400.0144413,974,1.7673995898803696e-05
1648749400.1207545,981,1.8042219380731694e-05
1648749400.180925,985,1.8256068869959563e-05
1648749400.2736511,991,1.8581602489575744e-05
1648749400.3231175,994,1.8746539353742264e-05
1648749400.4302547,1001,1.9137109120492823e-05
1648749400.569233,1010,1.9651250113383867e-05
1648749400.631712,1014,1.988416988751851e-05
1648749400.7853127,1024,2.04786174435867e-05
1648749400.939879,1034,2.1090836526127532e-05
1648749401.0022094,1038,2.1340818420867436e-05
1648749401.0808008,1043,2.16574680962367e-05
1648749401.1889842,1050,2.210868478869088e-05
1648749401.2193651,1052,2.2239320969674736e-05
1648749401.2494977,1054,2.23707302211551e-05
1648749401.2815924,1056,2.2502916181110777e-05
1648749401.3145878,1058,2.2635882487520576e-05
1648749401.3441722,1060,2.2769634597352706e-05
1648749401.4224324,1065,2.3107484594220296e-05
1648749401.483254,1069,2.3381369828712195e-05
1648749401.4999945,1070,2.3450345906894654e-05
1648749401.5155115,1071,2.351952571189031e-05
1648749401.531066,1072,2.3588911062688567e-05
1648749401.561326,1074,2.3728294763714075e-05
1648749401.6088128,1077,2.393891554675065e-05
1648749401.6394901,1079,2.408036743872799e-05
1648749401.903915,1096,2.5316958272014745e-05
1648749401.9376414,1098,2.5466551960562356e-05
1648749401.9514828,1099,2.5541679860907607e-05
1648749401.981615,1101,2.569260323070921e-05
1648749402.0127902,1103,2.5844416086329147e-05
1648749402.1210384,1110,2.6382866053609177e-05
1648749402.1361103,1111,2.6460696972208098e-05
1648749402.1531963,1112,2.6538758902461268e-05
1648749402.4030342,1128,2.7819523893413134e-05
1648749402.433419,1130,2.798390414682217e-05
1648749402.5427318,1137,2.856692844943609e-05
1648749402.6815348,1146,2.933441282948479e-05
1648749402.7603786,1151,2.9769667889922857e-05
1648749402.775915,1152,2.9857490517315455e-05
1648749402.8090417,1154,3.0033914299565367e-05
1648749402.8237557,1155,3.0122517273412086e-05
1648749402.9322453,1162,3.075009590247646e-05
1648749403.0469768,1169,3.1390751246362925e-05
1648749403.157646,1176,3.204475433449261e-05
1648749403.2362034,1181,3.252022361266427e-05
1648749403.3015501,1185,3.290567474323325e-05
1648749403.444931,1194,3.378972542122938e-05
1648749403.4607866,1195,3.388940604054369e-05
1648749403.508981,1198,3.419022323214449e-05
1648749403.587662,1203,3.46975248248782e-05
1648749403.6194267,1205,3.490255039650947e-05
1648749403.6347756,1206,3.500551247270778e-05
1648749403.681857,1209,3.531623588060029e-05
1648749403.7155626,1211,3.5524913982953876e-05
1648749403.8293297,1218,3.6265049857320264e-05
1648749404.0717318,1233,3.790338814724237e-05
1648749404.3113337,1248,3.961574111599475e-05
1648749404.344525,1250,3.984982686233707e-05
1648749404.358474,1251,3.9967388147488236e-05
1648749404.6156979,1267,4.189621904515661e-05
1648749404.6324012,1268,4.201981573714875e-05
1648749404.6487854,1269,4.21437798650004e-05
1648749404.6653888,1270,4.2268107790732756e-05
